#Feeder,Feeder ID,Type,Nozzle,X,Y,Angle,Footprint,Value,Pick height,Pick delay,Place Height,Place Delay,Vacuum detection,Threshold,Vision Alignment,Speed,
stack,2,0,14,410.34,99.88,90.00,0603,CAPC1508X55/10uF,1.30,100,2.50,100,No,-40,1,100,4,50,80,No,Yes,-40,-40,-40,-40,
stack,24,0,3,25.50,79.15,-90.00,,5050_PKG/5050_DEV,-0.30,100,3.80,100,No,-40,1,50,8,50,80,No,No,-40,-40,-40,-40,
pcb,Manual,Trace,100,100,350,350,Back,10,10,200,
mark,Mirror,Manual,350.812,349.884,345.572,72.3393,
markext,0,0.8,3,1,0,
markext,1,0.8,3,1,0,
test,No,
mirror_create,6,1,288.9,350.1,346.09,148.89,348.76,349.94,-0.153149,
mirror,288.90,350.10,0,No,
mirror,300.87,350.07,0,Yes,
mirror,312.84,350.04,0,No,
mirror,324.89,349.99,0,No,
mirror,336.79,349.97,0,No,
mirror,348.84,349.89,0,Yes,
#SMD,Feeder ID,Nozzle,Name,Value,Footprint,X,Y,Rotation,Skip
comp,2,1,C1,10uF,CAPC1508X55,348.74,349.96,0.00,No,
comp,2,4,C2,10uF,CAPC1508X55,348.76,316.15,0.00,No,
comp,2,1,C3,10uF,CAPC1508X55,348.74,282.44,0.00,No,
comp,2,4,C4,10uF,CAPC1508X55,348.67,248.73,0.00,No,
comp,2,1,C5,10uF,CAPC1508X55,348.70,215.11,0.00,No,
comp,2,4,C6,10uF,CAPC1508X55,348.72,181.42,0.00,No,
comp,2,1,C7,10uF,CAPC1508X55,348.65,147.72,0.00,No,
comp,2,4,C8,10uF,CAPC1508X55,348.66,113.97,0.00,No,
comp,2,1,C9,10uF,CAPC1508X55,348.62,80.34,0.00,No,
comp,24,3,D1,5050_DEV,5050_PKG,348.71,346.12,90.00,No,
comp,24,3,D2,5050_DEV,5050_PKG,348.74,312.51,90.00,No,
comp,24,3,D3,5050_DEV,5050_PKG,348.83,278.81,90.00,No,
comp,24,3,D4,5050_DEV,5050_PKG,348.55,245.18,90.00,No,
comp,24,3,D5,5050_DEV,5050_PKG,348.76,211.82,90.00,No,
comp,24,3,D6,5050_DEV,5050_PKG,348.61,177.82,90.00,No,
comp,24,3,D7,5050_DEV,5050_PKG,348.66,144.45,90.00,No,
comp,24,3,D8,5050_DEV,5050_PKG,348.54,110.43,90.00,No,
comp,24,3,D9,5050_DEV,5050_PKG,348.62,76.86,90.00,No,
